,score_sum
3067,2.0
4645,0.0
1676,0.0
10839,0.0
1834,19.0
9149,14.0
3377,99.0
4167,2.0
284,99.0
1014,12.0
4930,93.0
1389,99.0
275,97.0
7586,2.0
7508,0.0
8513,2.0
485,19.0
6936,97.0
6388,94.0
163,0.0
7708,4.0
4030,8.0
7353,5.0
7644,2.0
1797,0.0
8118,0.0
8316,96.0
7324,0.0
10314,98.0
9811,97.0
1035,4.0
5874,6.0
7836,6.0
4337,0.0
2665,10.0
9541,92.0
8586,93.0
7614,0.0
1458,100.0
2266,0.0
1526,97.0
1838,14.0
8358,98.0
4016,8.0
5212,0.0
3087,93.0
2127,90.0
5689,0.0
1365,4.0
1692,0.0
1337,10.0
5890,18.0
8772,0.0
7253,38.0
9862,0.0
2424,90.0
6907,22.0
2162,0.0
2910,2.0
10798,14.0
7326,0.0
6376,93.0
10672,0.0
2179,93.0
7571,98.0
6544,2.0
4983,0.0
3342,98.0
20,6.0
7863,0.0
9456,100.0
3280,8.0
10912,0.0
4076,96.0
2736,10.0
4248,7.0
10630,0.0
7658,100.0
9451,99.0
4775,8.0
4072,12.0
2105,94.0
4806,0.0
9771,99.0
6851,97.0
2857,0.0
622,0.0
2916,13.0
9609,94.0
6264,3.0
4593,99.0
7489,0.0
9863,0.0
7042,0.0
9011,99.0
9084,4.0
5438,99.0
3614,2.0
10323,97.0
4023,3.0
10665,0.0
10815,100.0
5177,4.0
9849,0.0
10578,0.0
8722,0.0
6793,16.0
7855,0.0
10524,6.0
6979,95.0
4394,0.0
8375,4.0
6435,97.0
7877,0.0
8581,98.0
8894,4.0
2578,0.0
7029,0.0
5740,0.0
5983,12.0
9618,96.0
9555,0.0
6220,94.0
809,12.0
6465,4.0
845,8.0
1304,95.0
734,22.0
7804,97.0
4678,0.0
10934,0.0
1151,95.0
7187,4.0
7007,4.0
5374,93.0
4843,0.0
544,99.0
5934,0.0
1647,7.0
6860,10.0
465,93.0
4375,0.0
4018,90.0
6847,92.0
9735,0.0
3658,98.0
1503,97.0
9159,4.0
7857,96.0
4526,94.0
4491,96.0
3753,0.0
7989,6.0
3975,98.0
4742,96.0
9878,0.0
9474,100.0
9665,0.0
8655,0.0
526,0.0
10452,2.0
7860,98.0
9407,10.0
4373,0.0
3448,4.0
8768,1.0
8705,6.0
10712,0.0
7135,95.0
7052,0.0
9890,0.0
4476,4.0
4753,6.0
312,14.0
4156,0.0
4838,0.0
4943,0.0
9925,12.0
843,12.0
10031,97.0
1940,98.0
8201,22.0
2285,90.0
10421,0.0
10269,96.0
1590,98.0
5580,0.0
327,12.0
3374,99.0
464,4.0
1723,0.0
5202,0.0
5980,4.0
9385,0.0
9443,97.0
9651,2.0
7000,97.0
6582,22.0
10808,6.0
10339,0.0
2437,0.0
3717,97.0
10388,0.0
5136,91.0
1142,93.0
846,12.0
9273,0.0
10836,0.0
5726,0.0
915,4.0
152,0.0
10443,17.0
615,99.0
2292,0.0
2096,99.0
6852,98.0
4070,99.0
476,96.0
10003,93.0
4728,0.0
213,96.0
7307,0.0
9287,90.0
4429,95.0
4517,98.0
3210,14.0
6497,0.0
1415,98.0
10747,2.0
8226,95.0
8869,6.0
797,95.0
726,0.0
1020,91.0
6157,95.0
3152,0.0
3993,93.0
8794,100.0
7948,99.0
3698,98.0
173,0.0
7094,93.0
1813,2.0
7909,0.0
3640,8.0
7152,99.0
10748,96.0
7771,98.0
3101,6.0
7824,97.0
1491,0.0
22,2.0
9192,88.0
9616,0.0
4496,96.0
897,95.0
4489,14.0
4907,12.0
5208,0.0
10320,2.0
7480,98.0
10577,9.0
10164,0.0
1169,97.0
8698,98.0
6833,96.0
6284,6.0
6575,99.0
9444,97.0
5520,2.0
5222,0.0
10066,5.0
2365,8.0
3381,4.0
5661,87.0
3070,100.0
10603,4.0
9217,100.0
990,0.0
9744,0.0
9892,0.0
7478,2.0
10850,8.0
1634,40.0
3745,98.0
7754,0.0
4408,2.0
5370,2.0
5929,4.0
10301,8.0
7425,0.0
5113,92.0
9804,4.0
6034,0.0
1574,0.0
7294,0.0
462,99.0
10307,93.0
6055,0.0
1905,0.0
10046,2.0
5056,93.0
838,95.0
287,6.0
6288,100.0
10400,0.0
643,0.0
5588,3.0
153,0.0
5748,4.0
4198,0.0
9129,98.0
215,93.0
7657,4.0
4677,0.0
909,97.0
8516,0.0
642,4.0
4130,0.0
8061,85.0
5607,98.0
4921,95.0
2551,12.0
3759,0.0
5032,5.0
3185,10.0
1917,15.0
3558,4.0
1790,0.0
7850,8.0
8454,3.0
6420,0.0
4568,5.0
9400,6.0
9802,96.0
7890,4.0
1372,12.0
9883,0.0
7876,0.0
2089,2.0
3262,0.0
5176,0.0
3066,10.0
7726,5.0
4215,0.0
3955,0.0
277,94.0
8231,97.0
5670,0.0
319,94.0
5511,0.0
710,96.0
7951,95.0
6361,14.0
1996,12.0
7288,0.0
2540,0.0
8969,0.0
8329,98.0
2822,0.0
10772,0.0
4035,22.0
795,93.0
5259,0.0
8134,97.0
8185,99.0
8304,0.0
295,98.0
5276,0.0
1204,0.0
10883,10.0
9176,95.0
4603,4.0
10166,0.0
4614,0.0
3298,98.0
638,3.0
8644,0.0
9730,0.0
5998,0.0
9449,5.0
1260,0.0
2151,0.0
2399,0.0
3760,95.0
187,10.0
2748,4.0
3748,0.0
2254,8.0
4019,98.0
8704,4.0
10048,94.0
8801,96.0
963,0.0
10356,96.0
5647,0.0
6711,95.0
1480,5.0
883,92.0
2112,6.0
3862,0.0
3828,98.0
6540,0.0
1653,95.0
3981,91.0
8116,96.0
8047,0.0
8162,98.0
7576,23.0
10648,0.0
7643,0.0
2564,98.0
7553,0.0
812,4.0
2546,97.0
1941,97.0
3827,97.0
4780,100.0
7062,0.0
1091,8.0
3035,6.0
6156,98.0
3051,1.0
2230,8.0
2917,0.0
1751,7.0
7032,0.0
7903,99.0
3321,8.0
7226,10.0
9772,95.0
5507,6.0
3434,0.0
5797,90.0
5386,95.0
6453,0.0
7615,0.0
2111,20.0
8951,0.0
5188,0.0
5880,10.0
2413,0.0
5767,0.0
676,0.0
4137,0.0
2382,97.0
10248,97.0
7221,4.0
5045,12.0
2934,4.0
2215,24.0
1570,0.0
5924,8.0
10693,0.0
3344,99.0
6147,0.0
3511,95.0
3030,0.0
2930,6.0
72,2.0
4599,96.0
1544,0.0
6796,98.0
1855,99.0
2218,8.0
361,2.0
549,97.0
2632,94.0
8903,4.0
1922,6.0
2197,95.0
3976,91.0
7361,0.0
7917,20.0
4376,0.0
9256,0.0
2873,95.0
4284,98.0
7966,96.0
6757,97.0
4895,4.0
4772,96.0
1581,0.0
10007,97.0
4891,98.0
5234,0.0
4853,6.0
866,96.0
6662,0.0
2295,4.0
8028,0.0
4629,0.0
873,16.0
5236,0.0
1143,92.0
3727,97.0
3807,4.0
8797,0.0
3988,99.0
8297,94.0
156,0.0
10262,97.0
2770,99.0
2950,97.0
8395,96.0
10225,6.0
3783,97.0
8691,4.0
8109,10.0
8168,0.0
4153,0.0
6609,97.0
3182,6.0
7059,0.0
5041,98.0
2150,0.0
3466,94.0
4259,0.0
5669,2.0
8284,98.0
10880,0.0
10252,95.0
6776,10.0
1514,94.0
1316,8.0
1250,0.0
6334,94.0
2506,0.0
5630,0.0
4217,0.0
5465,0.0
6872,97.0
6304,4.0
9687,12.0
5970,0.0
9438,92.0
9981,8.0
8673,2.0
698,0.0
4800,90.0
2621,99.0
3754,0.0
4195,0.0
4504,96.0
2159,0.0
1412,10.0
1268,0.0
9147,0.0
7344,2.0
5494,4.0
8301,95.0
4912,93.0
2785,95.0
2042,0.0
1109,94.0
8396,98.0
29,98.0
701,0.0
8514,96.0
1622,99.0
10232,95.0
801,8.0
4828,0.0
3744,0.0
8442,0.0
9171,0.0
4543,98.0
5084,98.0
8904,18.0
6552,94.0
2331,99.0
7083,96.0
641,96.0
8063,0.0
2463,0.0
9413,94.0
9255,4.0
6883,0.0
7619,0.0
7811,3.0
9294,99.0
4625,0.0
1978,5.0
917,97.0
4210,0.0
7002,96.0
2756,10.0
218,96.0
1626,12.0
9245,98.0
5169,97.0
3668,98.0
3223,0.0
4197,0.0
6063,96.0
4431,10.0
1449,94.0
7122,96.0
5304,96.0
1954,14.0
2340,6.0
7957,98.0
6299,4.0
4086,2.0
8010,93.0
6114,0.0
10153,98.0
8636,0.0
10761,100.0
9800,98.0
515,0.0
3315,9.0
