,score_sum
7952,95.0
8878,96.0
8745,4.0
4178,97.0
10320,2.0
10627,0.0
6045,95.0
9535,97.0
9920,6.0
2588,0.0
10103,99.0
5931,2.0
6338,4.0
5175,3.0
821,99.0
6244,93.0
6526,10.0
5700,0.0
5229,0.0
6762,92.0
6871,96.0
1710,0.0
1986,0.0
5373,94.0
8508,0.0
6525,16.0
1037,10.0
6999,10.0
7043,0.0
5926,4.0
8212,0.0
2678,95.0
10430,0.0
5969,0.0
3814,0.0
7053,0.0
5221,0.0
10475,2.0
2448,0.0
10473,99.0
1774,0.0
3132,4.0
7865,12.0
9965,6.0
2571,96.0
3925,0.0
1086,0.0
9117,0.0
2097,0.0
8577,4.0
791,4.0
496,4.0
6303,6.0
1957,7.0
229,10.0
1462,100.0
6768,0.0
8116,96.0
3943,0.0
9740,0.0
1003,96.0
9644,4.0
9908,0.0
10690,0.0
2999,0.0
10585,0.0
6823,95.0
8226,95.0
7154,99.0
1362,97.0
8490,0.0
7191,3.0
10649,0.0
7475,4.0
4348,0.0
10850,8.0
440,94.0
6381,24.0
10136,6.0
8468,4.0
944,0.0
2549,4.0
472,1.0
4771,96.0
2783,98.0
7223,0.0
4393,98.0
10170,0.0
8387,0.0
2530,10.0
6804,100.0
633,7.0
4344,0.0
5342,2.0
1755,99.0
756,97.0
5433,97.0
4598,97.0
2952,98.0
1661,0.0
5183,6.0
4368,0.0
743,4.0
6425,91.0
1815,0.0
6403,0.0
10392,94.0
5097,5.0
1044,95.0
9390,0.0
6005,0.0
8558,100.0
5889,16.0
1888,0.0
7439,0.0
1063,94.0
9327,100.0
6837,95.0
4447,0.0
4133,0.0
1112,97.0
2443,0.0
2480,94.0
2515,12.0
3728,93.0
5933,6.0
9691,0.0
8958,0.0
6468,14.0
7636,0.0
5456,96.0
4763,98.0
2991,0.0
2501,96.0
979,0.0
420,95.0
156,0.0
5805,6.0
7667,0.0
10188,0.0
1127,10.0
3975,98.0
6191,97.0
5845,16.0
3350,93.0
2237,12.0
9254,95.0
407,0.0
7919,0.0
321,95.0
9848,0.0
7783,6.0
4087,4.0
6105,0.0
1538,95.0
5363,97.0
10637,0.0
6313,97.0
6413,0.0
5590,0.0
5634,98.0
9085,97.0
5422,12.0
2551,12.0
1914,0.0
10097,8.0
10328,0.0
2278,2.0
5688,0.0
2137,0.0
6597,93.0
